i,x1,y1,z1
0,-1.1910428,1.131667,1.1568601
1,1.0781147,0.6805791,0.44976112
2,-1.0144615,0.7024593,-1.7130938
3,0.99923384,1.1115366,-0.7878512
4,0.6261983,0.5495331,-1.2518408
5,0.044424802,-0.0780432,0.19950987
6,0.1707546,-0.5419589,-0.8260641
7,1.2037747,0.09481086,-1.7836853
8,1.8515456,0.16826926,-0.36489707
9,1.718112,0.18009876,0.7705568
10,0.495706,0.20244116,1.705809
11,-0.77380353,0.2655846,1.4965416
12,-1.346623,0.9134974,-0.4182506
13,-0.14831588,0.30618924,-0.40625593
14,0.094793364,0.16966732,0.35531253
15,0.094793364,0.16966732,0.35531253
16,0.094793364,0.16966732,0.35531253
17,0.094793364,0.16966732,0.35531253
18,-1.6204838,0.10124479,1.0680276
19,0.009629771,-1.2762234,-0.11449435
20,-0.9890708,-0.41323882,-2.0653465
21,0.009629771,-1.2762234,-0.11449435
22,0.009629771,-1.2762234,-0.11449435
23,0.009629771,-1.2762234,-0.11449435
24,1.4327959,1.1248163,-0.85667765
25,1.5683801,1.1040586,0.088936925
26,1.2111833,1.1290101,0.9467007
27,0.36638328,0.9654559,1.2843857
28,-0.5591696,0.9877952,1.0685806
29,-1.0437051,1.108292,0.41225561
30,-1.5586785,-0.007796049,-0.16352776
31,-0.8052715,-0.26579303,-1.4066854
32,0.020296782,-0.786704,-0.17958489
33,0.023031294,-0.78882265,-0.17466047
34,0.023031294,-0.78882265,-0.17466047
35,0.023031294,-0.78882265,-0.17466047
36,1.590822,-0.4442075,0.30938154
37,-1.2510532,-0.30640924,1.2067761
38,-0.22897351,-0.98228973,-0.54207647
39,0.039104953,-1.15475,-0.14180794
40,0.039104953,-1.15475,-0.14180794
41,0.039104953,-1.15475,-0.14180794
42,0.08157122,-0.21811207,0.1677737
43,0.08157122,-0.21811207,0.1677737
44,0.081604615,-0.21869488,0.16797262
45,0.3270497,0.18931377,-1.7679238
46,1.6429044,0.59213966,-1.0827812
47,1.7282566,0.57441694,0.34237492
48,-1.0550303,1.1422733,0.79143405
49,-0.9536611,0.9687994,-1.2985307
50,-0.099873796,0.7627638,-0.23696277
51,-0.099838525,0.76275796,-0.23700547
52,-0.099838525,0.76275796,-0.23700547
53,-0.099838525,0.76275796,-0.23700547
54,0.03734404,1.1156043,2.0211377
55,0.114448816,-0.35074317,0.09519744
56,-1.9361984,1.0650347,-0.3021008
57,0.114448816,-0.35074317,0.09519744
58,0.07233825,-0.3358044,0.05419436
59,0.114448816,-0.35074317,0.09519744
60,2.1382823,0.94973713,-0.92371595
61,0.054551452,-0.86447495,-0.024934381
62,0.6980147,0.96314305,2.2244093
63,0.054551452,-0.86447495,-0.024934381
64,-2.0819235,0.9626477,0.22043946
65,0.054551452,-0.86447495,-0.024934381
66,2.0838528,0.768064,0.51944995
67,0.07448274,-0.58787405,-0.046897978
68,-0.70092946,0.93167233,1.7206687
69,0.07448274,-0.58787405,-0.046897978
70,-1.1586257,0.6667488,-2.0629325
71,0.07448274,-0.58787405,-0.046897978
72,-0.2117596,-0.41553873,-0.72419846
73,0.052682817,-0.61387396,-0.0847086
74,0.052682817,-0.61387396,-0.0847086
75,0.052682817,-0.61387396,-0.0847086
76,0.052682817,-0.61387396,-0.0847086
77,0.052682817,-0.61387396,-0.0847086
78,0.5781927,0.085362986,1.7560244
79,-1.1617035,0.14962558,1.3681227
80,-1.6891949,0.12377666,-0.4510751
81,-0.24879494,-0.73812646,-0.5728831
82,0.051534712,-0.9093309,-0.08111039
83,0.051538944,-0.9093341,-0.08110395
84,-0.1571163,1.3214257,-1.4121251
85,-0.14971891,1.259046,-1.3650615
86,-0.14953917,1.2590562,-1.3651654
87,-0.14953917,1.2590562,-1.3651654
88,-0.14953917,1.2590562,-1.3651654
89,-0.14953917,1.2590562,-1.3651654
90,0.06575863,-0.5640878,0.014968067
91,0.065760225,-0.5640876,0.014965802
92,0.33294994,-0.47743005,-0.9909837
93,1.9416231,0.17629083,-0.625173
94,1.019479,0.2535876,1.6885859
95,-1.4525603,0.33431995,0.8012477
96,-1.8808594,1.2866968,-0.23951408
97,0.99413884,0.6065791,-0.21690229
98,-0.28539526,0.7125886,-1.5479105
99,0.052352652,-0.0886765,0.21678947
100,0.061412543,-0.055765793,0.37027428
101,0.061431393,-0.055748478,0.37027052
102,0.06086935,-0.47523993,-0.06877315
103,0.06086935,-0.47523993,-0.06877315
104,0.002788812,0.14419354,-0.96274865
105,0.06086935,-0.47523993,-0.06877315
106,2.2252507,0.9342194,-0.35359204
107,0.06086935,-0.47523993,-0.06877315
108,-1.2582431,0.45466244,-1.7000846
109,0.8782724,0.22683378,0.7875334
110,1.0690665,0.31000555,0.11559257
111,1.0064633,0.30993772,-0.5737679
112,0.6670406,-0.11251095,-1.0678333
113,0.08259022,-0.8017497,-0.0692859
114,0.6638787,0.59175605,-1.6144975
115,1.7420219,1.0417607,-0.27690682
116,1.2326624,1.1168411,1.0469294
117,-0.13957548,1.0265269,1.2032909
118,-1.0538429,1.0004404,0.2964794
119,-0.85737973,0.70546573,-1.1825701
120,0.03679213,-0.29001486,0.02700159
121,0.03679213,-0.29001486,0.02700159
122,0.03679213,-0.29001486,0.02700159
123,0.03676662,-0.29019535,0.027054876
124,0.24242175,-0.07697457,-1.0663259
125,1.2892789,0.33274913,-1.3640789
126,-0.3553759,-1.0677563,-0.476975
127,-0.0183817,-1.3680855,-0.18464366
128,0.018615425,-1.4006006,-0.113946825
129,0.018620342,-1.4006022,-0.11394158
130,0.018620342,-1.4006022,-0.11394158
131,0.018620342,-1.4006022,-0.11394158
132,0.18749467,-1.2439895,-0.40658644
133,1.8073958,-0.6214116,0.8161552
134,-1.524346,-0.6047146,0.9026778
135,-0.039751828,-1.5281445,-0.10674837
136,0.02846402,-1.4521924,0.056714863
137,0.02846402,-1.4521924,0.056714863
138,2.3624544,1.1318024,-0.343634
139,0.128665,-0.5082768,-0.017997801
140,-0.96753633,1.3010498,1.8342937
141,0.128665,-0.5082768,-0.017997801
142,-0.2604237,0.6564381,-1.5926846
143,0.128665,-0.5082768,-0.017997801
144,2.0678787,1.0972325,-0.14931843
145,0.069362864,-0.516483,-0.009932727
146,-1.5129077,1.0886852,1.0711125
147,0.069362864,-0.516483,-0.009932727
148,0.06920567,-0.5163623,-0.010177761
149,0.069362864,-0.516483,-0.009932727
150,-0.93880033,-0.27318335,-1.6653408
151,0.0015209615,-0.81745917,-0.08312729
152,0.0016261041,-0.8174845,-0.08307758
153,0.0016261041,-0.8174845,-0.08307758
154,0.0016261041,-0.8174845,-0.08307758
155,0.0016261041,-0.8174845,-0.08307758
156,-1.6954252,-0.122973785,-0.29708457
157,0.19723442,-1.205193,-0.17295036
158,0.0020205528,-1.4312183,-0.015070468
159,0.0015092045,-1.4320519,-0.01441589
160,0.0015092045,-1.4320519,-0.01441589
161,0.0015092045,-1.4320519,-0.01441589
162,1.0666573,0.0022156388,1.8126589
163,0.032196358,-1.3036016,-0.05427721
164,-2.0296273,0.061802886,0.06038329
165,0.030994013,-1.3052801,-0.052940756
166,0.030608356,-1.3058006,-0.053347856
167,0.030994013,-1.3052801,-0.052940756
168,1.9101845,1.0412016,-0.93065155
169,1.4238185,1.3517205,1.1154357
170,-0.5451282,1.0528303,1.2207423
171,-1.2112106,1.2832903,-0.61492264
172,-0.17708051,0.88224995,-0.47452846
173,-0.15090191,0.8941653,-0.4660872
174,1.1422638,1.2285966,1.0345291
175,-0.33389065,1.1800373,1.0874414
176,-1.1599733,1.2597363,-0.0496355
177,-0.3780319,0.7544417,-0.7085439
178,-0.12788327,0.89234763,-0.26614085
179,-0.12788327,0.89234763,-0.26614085
180,1.8233271,1.3742261,-1.651908
181,-0.060514033,1.2309923,-1.2435181
182,1.0483716,1.5589287,1.958655
183,-0.060514033,1.2309923,-1.2435181
184,-1.5555562,1.476524,0.13965651
185,-0.060514033,1.2309923,-1.2435181
186,0.05399224,-1.4923142,-0.09132162
187,0.05399224,-1.4923142,-0.09132162
188,0.05399239,-1.4923142,-0.09132162
189,0.05399224,-1.4923142,-0.09132162
